start,start_lat,start_lon,minimum,finish,finish_lat,finish_lon
2016-01-01 00:00:00,77.6354,155.8021,967.917,2016-01-13 00:00:00,60.0,180.0
2016-01-01 00:00:00,64.625,316.2083,956.66,2016-01-15 00:00:00,61.4583,40.0
2016-01-01 01:00:00,63.7174,290.0109,977.985,2016-01-08 01:00:00,60.0714,309.75
2016-01-01 02:00:00,80.0568,216.6705,969.379,2016-01-14 02:00:00,60.7812,196.875
2016-01-01 03:00:00,80.2143,196.1548,970.812,2016-01-04 03:00:00,61.3333,190.2917
2016-01-11 12:00:00,60.1458,285.4583,980.208,2016-01-13 12:00:00,60.0556,261.1667
2016-01-15 17:00:00,60.0,199.25,972.747,2016-01-31 17:00:00,61.6591,311.375
2016-01-16 09:00:00,60.0,312.7833,985.521,2016-01-19 09:00:00,60.0,311.0156
2016-01-19 19:00:00,72.2,262.3,971.306,2016-01-30 19:00:00,61.4405,248.4286
2016-01-19 20:00:00,60.0,199.5,985.742,2016-01-23 20:00:00,60.8696,202.3043
2016-01-20 21:00:00,65.0833,326.5833,952.512,2016-01-31 21:00:00,67.3636,31.7273
2016-01-22 10:00:00,60.0,180.0,980.655,2016-01-31 10:00:00,60.0,179.9048
2016-01-25 07:00:00,60.0,198.6618,969.273,2016-01-31 07:00:00,60.0,182.7273
2016-09-01 00:00:00,73.2917,18.6667,967.113,2016-09-13 00:00:00,64.8977,61.2386
2016-09-01 00:00:00,78.8854,296.1458,972.888,2016-09-23 00:00:00,84.3571,310.0357
2016-09-01 00:00:00,85.0,247.7917,988.712,2016-09-04 00:00:00,85.75,238.5208
2016-09-05 00:00:00,77.5938,251.4583,987.505,2016-09-08 00:00:00,82.2361,224.125
2016-09-09 11:00:00,81.0278,237.9444,976.559,2016-09-29 11:00:00,67.7188,282.0
2016-09-12 18:00:00,66.3333,218.0417,976.573,2016-09-23 18:00:00,74.1607,199.0893
2016-09-14 07:00:00,89.9706,180.0,978.985,2016-09-30 07:00:00,61.6429,159.6548
2016-09-14 12:00:00,86.25,220.4583,967.041,2016-09-30 12:00:00,67.8409,24.5114
2016-09-27 04:00:00,68.7875,180.25,991.978,2016-09-29 04:00:00,79.125,180.25
