start,start_lat,start_lon,minimum,finish,finish_lat,finish_lon
2019-02-01 00:00:00,60.0,168.2812,964.216,2019-02-28 00:00:00,64.3333,174.8452
2019-02-01 00:00:00,60.0,180.25,958.811,2019-02-28 00:00:00,60.2273,313.1477
2019-02-01 00:00:00,60.0521,316.5625,958.626,2019-02-09 00:00:00,60.0,355.1667
2019-02-01 01:00:00,60.5978,299.5109,974.26,2019-02-04 01:00:00,61.75,302.625
2019-02-09 21:00:00,60.0,306.1667,980.01,2019-02-14 21:00:00,89.8438,308.625
2019-02-10 11:00:00,80.6346,181.6154,974.129,2019-02-24 11:00:00,72.5357,180.25
2019-02-11 11:00:00,87.3462,218.0,987.83,2019-02-15 11:00:00,90.0,257.3438
2019-02-16 22:00:00,60.0,336.25,962.619,2019-02-23 22:00:00,65.9,309.2333
2019-02-19 04:00:00,85.5625,226.7625,991.053,2019-02-23 04:00:00,89.5312,215.6562
2019-02-25 23:00:00,60.0,283.25,982.288,2019-02-27 23:00:00,61.2045,182.5682
2019-02-26 10:00:00,75.9107,82.75,962.552,2019-02-28 10:00:00,73.6094,71.7812
2019-07-01 00:00:00,66.9479,20.9271,988.482,2019-07-05 00:00:00,61.4808,26.25
2019-07-05 15:00:00,63.9444,74.8611,989.592,2019-07-09 15:00:00,75.6667,115.9583
2019-07-11 16:00:00,81.4375,139.6875,986.246,2019-07-17 16:00:00,63.5312,141.6406
2019-07-12 06:00:00,73.7917,235.1389,992.301,2019-07-18 06:00:00,60.25,349.0
2019-07-12 13:00:00,83.6818,180.25,989.34,2019-07-18 13:00:00,68.3636,283.5227
2019-07-17 00:00:00,66.8438,218.4688,990.523,2019-07-22 00:00:00,69.0921,180.2895
2019-07-17 06:00:00,63.625,280.2083,992.291,2019-07-22 06:00:00,66.7,355.75
2019-07-19 05:00:00,85.4211,100.25,993.004,2019-07-27 05:00:00,65.6786,180.0
2019-07-28 01:00:00,61.1087,56.2283,985.988,2019-07-31 01:00:00,66.1346,63.5385
