start,start_lat,start_lon,minimum,finish,finish_lat,finish_lon
1985-01-01 00:00:00,-63.9583,199.8333,955.909,1985-01-03 00:00:00,-67.1136,197.5
1985-01-22 19:00:00,-65.35,223.85,949.56,1985-01-25 19:00:00,-72.5179,239.6964
1985-02-10 12:00:00,-61.2708,107.1875,958.563,1985-02-12 12:00:00,-63.1071,136.1071
1985-02-12 12:00:00,-62.6458,50.2083,956.154,1985-02-13 12:00:00,-60.7083,11.7292
1985-02-13 21:00:00,-62.3333,237.75,951.065,1985-02-17 21:00:00,-64.7045,315.4773
1985-02-28 17:00:00,-62.3214,329.9643,940.485,1985-03-02 17:00:00,-68.0875,334.675
1985-03-02 04:00:00,-60.35,258.5,950.494,1985-03-04 04:00:00,-62.75,274.3889
1985-03-02 20:00:00,-60.0,84.5,935.885,1985-03-04 20:00:00,-65.75,83.45
1985-03-04 06:00:00,-63.75,346.5556,950.28,1985-03-12 06:00:00,-61.1875,93.9375
1985-03-05 22:00:00,-60.0,244.75,929.536,1985-03-19 22:00:00,-66.3333,212.25
1985-03-22 05:00:00,-60.7368,218.4079,951.694,1985-03-24 05:00:00,-67.275,244.45
1985-03-26 10:00:00,-60.0179,353.9821,945.371,1985-03-28 10:00:00,-65.2344,3.0156
1985-03-31 03:00:00,-61.5595,160.4881,944.678,1985-04-02 03:00:00,-66.0,178.5167
1985-04-03 17:00:00,-60.2143,192.3571,938.154,1985-04-15 17:00:00,-66.0909,288.3864
1985-04-04 14:00:00,-61.325,30.375,952.644,1985-04-06 14:00:00,-64.35,50.85
1985-04-08 02:00:00,-60.3864,16.6705,947.253,1985-04-13 02:00:00,-68.9167,15.9167
1985-04-13 17:00:00,-69.75,185.5714,951.595,1985-04-14 17:00:00,-65.6324,231.0147
1985-04-16 08:00:00,-65.3281,245.8906,939.581,1985-04-23 08:00:00,-65.8056,260.1111
1985-04-22 12:00:00,-60.1667,82.5625,950.993,1985-04-26 12:00:00,-60.0,105.0909
1985-04-26 06:00:00,-62.2361,338.4583,948.546,1985-04-29 06:00:00,-60.0,16.0
1985-04-30 07:00:00,-69.2059,227.25,932.074,1985-05-08 07:00:00,-64.6607,274.25
1985-05-14 09:00:00,-63.3667,274.1,955.57,1985-05-16 09:00:00,-61.5395,282.5
1985-05-18 12:00:00,-61.7917,80.4167,953.291,1985-05-20 12:00:00,-62.7917,81.9583
1985-05-24 11:00:00,-60.0,356.8654,939.902,1985-05-29 11:00:00,-65.8529,327.8088
1985-05-25 08:00:00,-74.9219,179.75,942.68,1985-05-27 08:00:00,-69.7333,177.95
1985-05-30 07:00:00,-60.5735,66.8529,948.93,1985-06-01 07:00:00,-66.4545,71.0455
1985-05-30 12:00:00,-60.0,345.6042,935.168,1985-06-04 12:00:00,-65.7321,25.625
1985-06-05 06:00:00,-66.9028,163.4306,939.155,1985-06-08 06:00:00,-61.7188,179.5312
1985-06-06 18:00:00,-60.0,81.375,951.334,1985-06-08 18:00:00,-64.4674,66.0978
1985-06-06 18:00:00,-67.4583,202.25,936.405,1985-06-10 18:00:00,-67.2083,187.75
1985-06-13 13:00:00,-60.0,348.6136,951.277,1985-06-16 13:00:00,-60.0,351.9167
1985-06-21 05:00:00,-60.3684,56.8158,952.489,1985-06-22 05:00:00,-60.0,53.25
1985-06-22 17:00:00,-64.8929,207.9643,957.702,1985-06-25 17:00:00,-74.4167,220.4792
1985-06-24 06:00:00,-60.0,89.5,953.936,1985-06-26 06:00:00,-60.0,83.225
1985-06-28 10:00:00,-61.8214,27.9643,951.25,1985-06-30 10:00:00,-70.7188,350.5938
1985-06-30 02:00:00,-63.1705,165.4773,945.124,1985-07-10 02:00:00,-72.8393,164.8214
1985-06-30 17:00:00,-64.5357,75.8571,954.939,1985-07-02 17:00:00,-61.5833,116.1389
1985-07-01 19:00:00,-67.3,22.75,939.273,1985-07-06 19:00:00,-71.0417,68.0
1985-07-02 22:00:00,-70.875,180.0,942.094,1985-07-07 22:00:00,-69.8182,193.0909
1985-07-03 21:00:00,-74.3333,300.9167,942.989,1985-07-06 21:00:00,-70.0521,320.0208
1985-07-09 04:00:00,-60.0441,7.3529,950.001,1985-07-12 04:00:00,-61.75,357.1786
1985-07-20 14:00:00,-60.0,143.7,937.149,1985-07-24 14:00:00,-63.0375,89.8875
1985-07-25 16:00:00,-67.7812,206.75,942.035,1985-07-31 16:00:00,-69.1711,25.6184
1985-08-01 21:00:00,-78.0833,272.5,935.724,1985-08-07 21:00:00,-67.75,320.9688
1985-08-02 22:00:00,-60.0,100.25,952.246,1985-08-05 22:00:00,-63.5,106.6667
1985-08-05 07:00:00,-71.75,220.9412,922.152,1985-08-11 07:00:00,-61.5,251.6111
