start,start_lat,start_lon,minimum,finish,finish_lat,finish_lon
2010-01-01 00:00:00,-62.9792,184.0729,950.98,2010-01-07 00:00:00,-60.5625,246.6875
2010-01-01 00:00:00,-55.0729,346.6146,948.895,2010-01-15 00:00:00,-58.6875,109.2917
2010-01-06 11:00:00,-55.0769,108.6346,962.88,2010-01-08 11:00:00,-57.25,113.1538
2010-01-12 21:00:00,-56.75,156.9167,950.85,2010-01-14 21:00:00,-66.1591,173.0455
2010-01-13 07:00:00,-57.8088,292.5294,955.897,2010-01-18 07:00:00,-62.9444,227.4167
2010-01-13 20:00:00,-55.0,9.0625,950.703,2010-01-18 20:00:00,-61.1389,44.8611
2010-01-18 20:00:00,-63.25,275.25,954.808,2010-02-03 20:00:00,-62.375,10.625
2010-01-23 08:00:00,-58.2344,50.6406,955.005,2010-01-28 08:00:00,-62.8214,133.6786
2010-01-31 05:00:00,-58.4474,141.4474,960.986,2010-02-01 05:00:00,-63.875,137.125
2010-02-03 13:00:00,-68.2727,202.9545,966.647,2010-02-05 13:00:00,-66.0,220.25
2010-02-03 22:00:00,-55.0,300.25,955.086,2010-02-05 22:00:00,-58.5833,312.0
2010-02-04 20:00:00,-55.0,9.6875,961.523,2010-02-07 20:00:00,-64.9524,4.8929
2010-02-06 19:00:00,-59.75,230.75,947.383,2010-02-25 19:00:00,-66.4559,264.8824
2010-02-07 04:00:00,-63.85,118.0875,959.434,2010-02-14 04:00:00,-57.2625,9.0125
2010-02-07 11:00:00,-60.9423,265.8654,951.133,2010-02-11 11:00:00,-57.3889,311.4028
2010-02-13 12:00:00,-62.7083,177.2292,959.541,2010-02-15 12:00:00,-62.5147,163.4412
2010-02-17 02:00:00,-61.5341,54.6705,950.067,2010-02-22 02:00:00,-56.8587,96.0
2010-02-18 03:00:00,-63.2262,166.7976,961.319,2010-02-21 03:00:00,-61.0,163.8333
2010-02-22 21:00:00,-58.5,234.0,958.39,2010-02-25 21:00:00,-63.1042,30.6354
2010-02-23 03:00:00,-61.7143,127.119,955.582,2010-02-24 03:00:00,-64.75,131.25
2010-02-25 12:00:00,-66.6667,172.7292,950.302,2010-03-03 12:00:00,-58.7143,176.7143
2010-02-25 15:00:00,-68.2778,180.0,947.667,2010-02-28 15:00:00,-74.6667,181.7292
2010-02-26 04:00:00,-63.6,65.1375,950.277,2010-03-02 04:00:00,-61.1591,75.4318
2010-02-26 21:00:00,-64.5833,308.3333,953.045,2010-03-03 21:00:00,-60.8043,206.1196
2010-03-02 01:00:00,-63.6848,180.0,951.116,2010-03-05 01:00:00,-70.0952,235.0238
2010-03-04 03:00:00,-63.5,14.7738,950.339,2010-03-05 03:00:00,-65.25,22.25
2010-03-04 16:00:00,-60.7812,93.0312,959.263,2010-03-05 16:00:00,-63.9643,115.8036
2010-03-05 23:00:00,-72.0,239.0,942.937,2010-03-07 23:00:00,-60.05,276.05
2010-03-06 04:00:00,-63.1625,53.9125,948.579,2010-03-08 04:00:00,-64.6562,83.9531
2010-03-07 03:00:00,-85.0,174.0,964.475,2010-03-10 03:00:00,-65.7083,174.2604
2010-03-07 14:00:00,-70.55,250.4,959.015,2010-03-11 14:00:00,-60.3929,62.1786
2010-03-08 23:00:00,-67.75,233.5,946.839,2010-03-09 23:00:00,-64.0682,260.4773
2010-03-09 13:00:00,-57.1818,75.1591,964.15,2010-03-11 13:00:00,-61.381,105.7976
2010-03-12 00:00:00,-67.2292,162.4792,957.09,2010-03-14 00:00:00,-57.2656,179.375
2010-03-12 03:00:00,-70.9643,204.1905,940.898,2010-03-18 03:00:00,-68.9167,191.25
2010-03-12 09:00:00,-56.8,79.6833,946.836,2010-03-22 09:00:00,-62.8,117.3667
2010-03-12 15:00:00,-56.9722,296.6944,953.573,2010-03-16 15:00:00,-58.5,289.8333
2010-03-17 08:00:00,-57.9062,127.6094,954.424,2010-03-22 08:00:00,-61.4167,177.6458
2010-03-19 01:00:00,-61.1848,343.1739,952.579,2010-03-27 01:00:00,-60.75,271.125
2010-03-21 04:00:00,-66.9,211.225,957.601,2010-03-25 04:00:00,-63.1071,246.75
2010-03-24 10:00:00,-59.7679,166.4821,950.984,2010-03-26 10:00:00,-61.0,179.75
2010-03-25 00:00:00,-64.0521,180.125,951.191,2010-03-27 00:00:00,-62.1375,189.2125
2010-03-26 07:00:00,-63.4844,21.0156,959.454,2010-03-29 07:00:00,-66.5,290.25
2010-03-30 07:00:00,-66.4062,221.4219,947.766,2010-04-01 07:00:00,-64.5278,292.6389
2010-03-31 20:00:00,-62.3125,213.5,940.334,2010-04-02 20:00:00,-63.2826,231.7391
2010-04-02 15:00:00,-56.5833,21.5,953.351,2010-04-07 15:00:00,-64.0938,119.4375
2010-04-03 01:00:00,-64.5652,254.2717,925.99,2010-04-18 01:00:00,-63.1944,289.8611
2010-04-04 06:00:00,-64.3889,162.9167,961.72,2010-04-06 06:00:00,-66.5735,179.6912
2010-04-08 04:00:00,-60.0588,53.8971,940.573,2010-04-12 04:00:00,-62.3281,114.0469
2010-04-08 08:00:00,-63.2031,166.5,963.486,2010-04-10 08:00:00,-64.5833,172.9583
2010-04-08 18:00:00,-64.625,329.2917,962.605,2010-04-10 18:00:00,-60.1,357.7
2010-04-11 07:00:00,-66.3824,6.7206,961.66,2010-04-14 07:00:00,-62.075,48.2
2010-04-12 03:00:00,-68.1667,314.881,961.999,2010-04-14 03:00:00,-57.875,354.0
2010-04-12 20:00:00,-62.3125,137.25,942.496,2010-04-17 20:00:00,-61.2875,99.225
2010-04-14 02:00:00,-63.1786,180.0,941.22,2010-04-17 02:00:00,-73.4091,192.2273
2010-04-15 04:00:00,-60.875,92.3875,949.961,2010-04-22 04:00:00,-67.163,335.8261
2010-04-17 08:00:00,-63.8438,147.6875,962.548,2010-04-19 08:00:00,-59.1146,179.75
2010-04-18 08:00:00,-59.9688,180.6719,947.869,2010-04-22 08:00:00,-71.25,190.375
2010-04-22 06:00:00,-63.0556,71.2083,956.211,2010-04-28 06:00:00,-55.0,140.7188
2010-04-23 05:00:00,-65.3684,228.3684,948.369,2010-04-25 05:00:00,-64.2738,248.6786
2010-04-24 16:00:00,-60.875,23.5938,936.684,2010-05-05 16:00:00,-58.3864,94.7159
2010-04-28 11:00:00,-65.4038,281.1346,945.472,2010-05-09 11:00:00,-55.0,255.875
2010-04-28 20:00:00,-55.0,95.625,958.467,2010-05-04 20:00:00,-66.7308,171.5
2010-04-30 05:00:00,-67.0263,230.9211,951.962,2010-05-04 05:00:00,-65.8654,222.6346
2010-05-06 02:00:00,-59.625,133.125,954.666,2010-05-10 02:00:00,-63.4318,179.75
2010-05-10 14:00:00,-69.175,321.675,959.705,2010-05-12 14:00:00,-66.1875,333.5625
2010-05-10 22:00:00,-55.875,119.875,944.421,2010-05-18 22:00:00,-62.9167,100.6667
2010-05-11 03:00:00,-63.2976,213.8452,943.653,2010-05-17 03:00:00,-67.75,277.3036
2010-05-13 06:00:00,-55.0694,17.0694,938.438,2010-05-15 06:00:00,-63.875,39.375
2010-05-16 11:00:00,-63.9167,49.0208,930.34,2010-05-25 11:00:00,-59.3214,91.7857
2010-05-20 16:00:00,-66.2188,112.625,959.372,2010-05-22 16:00:00,-66.6618,26.7647
2010-05-26 00:00:00,-67.2812,323.5521,928.067,2010-05-29 00:00:00,-66.0,317.85
2010-05-26 10:00:00,-60.8214,105.8393,955.702,2010-05-28 10:00:00,-63.75,121.3281
2010-05-29 07:00:00,-62.1471,54.4853,943.66,2010-05-31 07:00:00,-62.8571,74.8929
2010-05-30 04:00:00,-69.75,249.8375,929.927,2010-06-03 04:00:00,-68.3523,264.1023
2010-05-30 14:00:00,-62.7222,181.9444,963.733,2010-06-01 14:00:00,-59.6,349.8167
2010-06-01 02:00:00,-61.6591,138.2841,947.294,2010-06-04 02:00:00,-67.2368,179.75
2010-06-01 22:00:00,-64.125,6.75,921.053,2010-06-10 22:00:00,-63.6477,26.8182
2010-06-05 08:00:00,-66.0312,222.4219,945.813,2010-06-07 08:00:00,-67.9079,256.8947
2010-06-06 13:00:00,-65.0909,176.75,958.607,2010-06-08 13:00:00,-63.7619,167.4286
2010-06-09 05:00:00,-58.5132,79.4474,935.877,2010-06-13 05:00:00,-62.9062,97.5938
2010-06-10 01:00:00,-63.6087,166.6848,959.149,2010-06-12 01:00:00,-67.4048,177.7976
2010-06-10 04:00:00,-67.3375,273.7875,936.451,2010-06-15 04:00:00,-71.2381,339.0119
2010-06-11 08:00:00,-65.625,183.5625,956.145,2010-06-13 08:00:00,-70.6447,197.2895
2010-06-13 22:00:00,-84.75,175.5,939.755,2010-06-23 22:00:00,-74.3077,166.6923
2010-06-15 10:00:00,-68.0357,188.2857,951.418,2010-06-20 10:00:00,-74.7885,196.1731
2010-06-15 13:00:00,-62.1818,168.9318,941.549,2010-06-18 13:00:00,-65.4062,155.625
2010-06-19 18:00:00,-67.2917,11.75,964.629,2010-06-21 18:00:00,-61.6,192.9625
2010-06-23 00:00:00,-64.4688,62.6667,949.61,2010-06-29 00:00:00,-66.125,37.7159
2010-06-24 15:00:00,-66.6944,240.6389,940.296,2010-07-02 15:00:00,-55.1375,278.6
2010-06-28 22:00:00,-63.75,113.875,964.583,2010-07-02 22:00:00,-63.6667,178.25
2010-06-29 15:00:00,-65.4722,180.0,954.095,2010-07-02 15:00:00,-67.5,208.5625
2010-06-30 15:00:00,-60.5,100.3333,954.992,2010-07-03 15:00:00,-63.3571,110.6667
2010-06-30 16:00:00,-58.75,329.875,940.185,2010-07-03 16:00:00,-64.5833,17.5833
2010-07-05 07:00:00,-63.7794,259.9118,959.241,2010-07-10 07:00:00,-67.2,311.1
2010-07-05 10:00:00,-59.8214,138.4107,935.856,2010-07-15 10:00:00,-63.3833,118.5833
